"Id";"Precision";"max";"Recall";"max";"F1";"max";;;"Precision";"Recall";"F1";"Summe";
"Marker";"ParsCit";"15,72";"ParsCit";"53,21";"ParsCit";"15,72";;"Cermine";"1";"6";"7";"14";
"Title";"Grobid";"95,62";"ParsCit";"78,88";"Cermine";"76,64";;"Grobid";"9";"7";"7";"23";
"Source";"Grobid";"69,36";"Grobid";"78,36";"Grobid";"68,94";;"ParsCit";"5";"5";"4";"14";
"Publisher";"Grobid";"87,21";"Grobid";"62,80";"Grobid";"59,93";;"PDFX";"0";"0";"0";"0";
"Editor";"ParsCit";"0";"Cermine";"0";"Cermine";"0";
"Authors";"ParsCit";"93,05";"ParsCit";"92,07";"ParsCit";"91,07";
"Edition";"none";"0";"Cermine";"0";"Cermine";"0";
"Location";"Grobid";"78,13";"Grobid";"28,63";"Grobid";"27,99";
"Volume";"Grobid";"99,21";"ParsCit";"87,89";"ParsCit";"79,82";
"Issue";"ParsCit";"97,15";"Cermine";"87,92";"Cermine";"80,23";
"Chapter";"none";"0";"Cermine";"0";"Cermine";"0";
"Note";"ParsCit";"4,71";"ParsCit";"3,45";"ParsCit";"2,35";
"Page from";"Grobid";"96,73";"Grobid";"88,48";"Grobid";"87,32";
"Page to";"Cermine";"98,35";"Cermine";"90,99";"Cermine";"90,37";
"Date";"Grobid";"94,86";"Grobid";"96,40";"Grobid";"93,88";
"Doi";"none";"0";"Cermine";"0";"Cermine";"0";
"Url";"Grobid";"70,91";"Grobid";"44,83";"Grobid";"41,94";

"Average";"Grobid";"87,94";"Grobid";"47,13";"Grobid";"45,75";

"not same method best for all parameters";
