EvaluationType;Precision;Recall;F1
TITLE;92,71;89,00;89,00
ABSTRACT;70,11;66,30;63,54
ABSTRACTGERMAN;?;,00;,00
KEYWORDS;66,43;68,27;54,19
AUTHORS;70,10;59,00;57,72
EMAILS;65,88;70,65;54,23
AUTHOR_EMAILS;60,20;66,67;50,54
AFFILIATIONS;66,16;60,06;59,03
AUTHOR_AFFILIATIONS;53,61;40,71;39,71
SOURCE;,00;,00;,00
VOLUME;,00;,00;,00
ISSUE;,00;,00;,00
PAGE_FROM;3,23;100,00;3,23
PAGE_TO;3,23;100,00;3,23
YEAR;100,00;88,24;88,24
DOI;?;,00;,00
SECTIONS;70,07;54,96;58,51
SECTION_LEVELS;93,28;21,87;25,58
SECTION_REFERENCES;60,01;34,01;37,17
REFERENCES;99,03;76,76;78,93
;54,11;49,82;38,14
